법정동코드,시군구명,법정동명,관측품질,CI,주거비_압박지수,LDRI,위험유형,차원비교유형
1132010500,도봉구,쌍문동,주거비관측,0.362735,0.2017,36.634995,이탈진행형,CI 낮음 / 주거비 높음
1132010700,도봉구,창동,주거비관측,0.33563,0.2113,35.428328,이탈진행형,CI 낮음 / 주거비 높음
1123010500,동대문구,답십리동,주거비관측,0.367632,0.2083,38.47,이탈진행형,CI 낮음 / 주거비 높음
1159010600,동작구,동작동,주거비관측,0.320419,0.2755,44.757354,이탈진행형,CI 낮음 / 주거비 높음
1159010700,동작구,사당동,주거비관측,0.392619,0.216,42.892384,이탈진행형,CI 낮음 / 주거비 높음
1159010900,동작구,신대방동,주거비관측,0.368436,0.2152,39.926391,이탈진행형,CI 낮음 / 주거비 높음
1159010500,동작구,흑석동,주거비관측,0.312342,0.2247,35.033108,이탈진행형,CI 낮음 / 주거비 높음
1144010200,마포구,공덕동,주거비관측,0.361204,0.2224,40.487759,이탈진행형,CI 낮음 / 주거비 높음
1144011300,마포구,구수동,주거비관측,0.333333,0.2364,39.664364,이탈진행형,CI 낮음 / 주거비 높음
1144011800,마포구,당인동,주거비관측,0.391734,0.2097,41.463131,이탈진행형,CI 낮음 / 주거비 높음
1144010800,마포구,대흥동,주거비관측,0.386154,0.2439,47.932511,이탈진행형,CI 낮음 / 주거비 높음
1144010400,마포구,도화동,주거비관측,0.354373,0.2815,50.927853,이탈진행형,CI 낮음 / 주거비 높음
1144010700,마포구,마포동,주거비관측,0.335297,0.4852,84.751864,이탈진행형,CI 낮음 / 주거비 높음
1144012300,마포구,망원동,주거비관측,0.390708,0.2023,39.793552,이탈진행형,CI 낮음 / 주거비 높음
1144010900,마포구,염리동,주거비관측,0.327494,0.2312,38.007133,이탈진행형,CI 낮음 / 주거비 높음
1144010500,마포구,용강동,주거비관측,0.301349,0.2116,31.583581,이탈진행형,CI 낮음 / 주거비 높음
1144010600,마포구,토정동,주거비관측,0.29752,0.2761,41.462475,이탈진행형,CI 낮음 / 주거비 높음
1144011200,마포구,현석동,주거비관측,0.339463,0.4162,73.248832,이탈진행형,CI 낮음 / 주거비 높음
1141012000,서대문구,남가좌동,주거비관측,0.334387,0.2301,38.666058,이탈진행형,CI 낮음 / 주거비 높음
1141010700,서대문구,옥천동,주거비관측,0.365353,0.3078,57.753743,이탈진행형,CI 낮음 / 주거비 높음
1141010600,서대문구,천연동,주거비관측,0.367646,0.2414,45.012209,이탈진행형,CI 낮음 / 주거비 높음
1141011100,서대문구,홍제동,주거비관측,0.340499,0.2079,35.359015,이탈진행형,CI 낮음 / 주거비 높음
1165010700,서초구,반포동,주거비관측,0.241248,0.2077,24.242566,이탈진행형,CI 낮음 / 주거비 높음
1165010100,서초구,방배동,주거비관측,0.298133,0.2139,31.586397,이탈진행형,CI 낮음 / 주거비 높음
1165010800,서초구,서초동,주거비관측,0.30523,0.2085,31.516398,이탈진행형,CI 낮음 / 주거비 높음
1165010200,서초구,양재동,주거비관측,0.393245,0.2208,43.979583,이탈진행형,CI 낮음 / 주거비 높음
1165010600,서초구,잠원동,주거비관측,0.223655,0.2009,21.46108,이탈진행형,CI 낮음 / 주거비 높음
1120011000,성동구,금호동2가,주거비관측,0.332671,0.2694,45.480865,이탈진행형,CI 낮음 / 주거비 높음
1120011100,성동구,금호동3가,주거비관측,0.332533,0.2302,38.454611,이탈진행형,CI 낮음 / 주거비 높음
1120010400,성동구,도선동,주거비관측,0.385829,0.2023,39.263077,이탈진행형,CI 낮음 / 주거비 높음
1120011300,성동구,옥수동,주거비관측,0.28543,0.2353,33.408975,이탈진행형,CI 낮음 / 주거비 높음
1120010800,성동구,응봉동,주거비관측,0.247472,0.217,26.17436,이탈진행형,CI 낮음 / 주거비 높음
1129013400,성북구,길음동,주거비관측,0.248076,0.3066,38.191715,이탈진행형,CI 낮음 / 주거비 높음
1129010300,성북구,돈암동,주거비관측,0.359899,0.2386,43.465431,이탈진행형,CI 낮음 / 주거비 높음
1129010700,성북구,동소문동4가,주거비관측,0.39175,0.2144,42.454619,이탈진행형,CI 낮음 / 주거비 높음
1129010100,성북구,성북동,주거비관측,0.392401,0.2208,43.879409,이탈진행형,CI 낮음 / 주거비 높음
1129010200,성북구,성북동1가,주거비관측,0.391788,0.2059,40.669064,이탈진행형,CI 낮음 / 주거비 높음
1129013800,성북구,장위동,주거비관측,0.393408,0.2201,43.850952,이탈진행형,CI 낮음 / 주거비 높음
1129013500,성북구,종암동,주거비관측,0.358464,0.228,41.239113,이탈진행형,CI 낮음 / 주거비 높음
1129013600,성북구,하월곡동,주거비관측,0.348633,0.2387,42.039332,이탈진행형,CI 낮음 / 주거비 높음
1171010700,송파구,가락동,주거비관측,0.280242,0.2036,27.978026,이탈진행형,CI 낮음 / 주거비 높음
1171011300,송파구,거여동,주거비관측,0.30502,0.2213,33.591307,이탈진행형,CI 낮음 / 주거비 높음
1171011100,송파구,방이동,주거비관측,0.374679,0.2129,40.185339,이탈진행형,CI 낮음 / 주거비 높음
1171011200,송파구,오금동,주거비관측,0.324563,0.207,33.421349,이탈진행형,CI 낮음 / 주거비 높음
1117013200,용산구,동빙고동,주거비관측,0.297042,0.2684,40.162102,이탈진행형,CI 낮음 / 주거비 높음
1117011500,용산구,산천동,주거비관측,0.382839,0.2151,41.571759,이탈진행형,CI 낮음 / 주거비 높음
1117013300,용산구,서빙고동,주거비관측,0.296871,0.2994,45.083967,이탈진행형,CI 낮음 / 주거비 높음
1117011400,용산구,신창동,주거비관측,0.382508,0.2131,41.122326,이탈진행형,CI 낮음 / 주거비 높음
1117012100,용산구,용문동,주거비관측,0.387238,0.2393,47.117223,이탈진행형,CI 낮음 / 주거비 높음
1117011700,용산구,원효로3가,주거비관측,0.38176,0.217,41.836847,이탈진행형,CI 낮음 / 주거비 높음
1117012900,용산구,이촌동,주거비관측,0.218699,0.2177,22.900682,이탈진행형,CI 낮음 / 주거비 높음
1117013400,용산구,주성동,주거비관측,0.295183,0.2123,30.993337,이탈진행형,CI 낮음 / 주거비 높음
1117013100,용산구,한남동,주거비관측,0.342811,0.3185,55.996087,이탈진행형,CI 낮음 / 주거비 높음
1117011900,용산구,효창동,주거비관측,0.335536,0.24,40.593543,이탈진행형,CI 낮음 / 주거비 높음
1138010200,은평구,녹번동,주거비관측,0.384938,0.2069,40.117917,이탈진행형,CI 낮음 / 주거비 높음
1138010100,은평구,수색동,주거비관측,0.325706,0.2875,47.640971,이탈진행형,CI 낮음 / 주거비 높음
1138011000,은평구,증산동,주거비관측,0.329968,0.2259,37.374569,이탈진행형,CI 낮음 / 주거비 높음
1111018200,종로구,구기동,주거비관측,0.232863,0.2185,24.658161,이탈진행형,CI 낮음 / 주거비 높음
1111011800,종로구,내수동,주거비관측,0.342529,0.2028,34.6469,이탈진행형,CI 낮음 / 주거비 높음
