법정동코드,법정동코드8,시군구명,법정동명,CI,주거비자료_매칭여부,관측품질,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_rank,LDRI_등급,위험유형,차원비교유형
1120010800,11200108,성동구,응봉동,0.247472,매칭,주거비관측,0.217,0.217,0.053701,26.17436,293,매우낮음,이탈진행형,CI 낮음 / 주거비 높음
1120010200,11200102,성동구,하왕십리동,0.383985,매칭,주거비관측,0.199,0.199,0.076413,38.381449,185,보통,안정형,CI 낮음 / 주거비 낮음
1120010700,11200107,성동구,행당동,0.402606,매칭,주거비관측,0.1745,0.1745,0.070255,35.071517,220,낮음,잠재위험형,CI 높음 / 주거비 낮음
1120010300,11200103,성동구,홍익동,0.38621,매칭,주거비관측,0.1283,0.1283,0.049551,23.943416,306,매우낮음,안정형,CI 낮음 / 주거비 낮음
1129013400,11290134,성북구,길음동,0.248076,매칭,주거비관측,0.3066,0.3066,0.07606,38.191715,186,보통,이탈진행형,CI 낮음 / 주거비 높음
1129010300,11290103,성북구,돈암동,0.359899,매칭,주거비관측,0.2386,0.2386,0.085872,43.465431,130,높음,이탈진행형,CI 낮음 / 주거비 높음
1129011600,11290116,성북구,동선동1가,0.546534,매칭,주거비관측,0.1586,0.1586,0.08668,43.899952,121,높음,잠재위험형,CI 높음 / 주거비 낮음
1129011700,11290117,성북구,동선동2가,0.549519,매칭,주거비관측,0.2573,0.2573,0.141391,73.306219,12,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1129011800,11290118,성북구,동선동3가,0.548663,매칭,주거비관측,0.2814,0.2814,0.154394,80.294824,9,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1129011900,11290119,성북구,동선동4가,0.546772,매칭,주거비관측,0.1188,0.1188,0.064957,32.223789,245,낮음,잠재위험형,CI 높음 / 주거비 낮음
1129012000,11290120,성북구,동선동5가,0.545964,매칭,주거비관측,0.1375,0.1375,0.07507,37.659602,195,보통,잠재위험형,CI 높음 / 주거비 낮음
